"age","attitude","gender","points","deep","stra","surf"
53,37,"F",25,3.58333333333333,3.375,2.58333333333333
55,31,"M",12,2.91666666666667,2.75,3.16666666666667
49,25,"F",24,3.5,3.625,2.25
53,35,"M",10,3.5,3.125,2.25
49,37,"M",22,3.66666666666667,3.625,2.83333333333333
38,38,"F",21,4.75,3.625,2.41666666666667
50,35,"M",21,3.83333333333333,2.25,1.91666666666667
37,29,"F",31,3.25,4,2.83333333333333
37,38,"M",24,4.33333333333333,4.25,2.16666666666667
42,21,"F",26,4,3.5,3
37,39,"M",31,3.58333333333333,3.625,2.66666666666667
34,38,"F",31,3.83333333333333,4.75,2.41666666666667
34,24,"F",23,4.25,3.625,2.25
34,30,"F",25,3.33333333333333,3.5,2.75
35,26,"M",21,4.16666666666667,1.75,2.33333333333333
33,41,"F",31,3.66666666666667,3.875,2.33333333333333
32,26,"F",20,4.08333333333333,1.375,2.91666666666667
44,26,"F",22,3.5,3.25,2.5
29,17,"M",9,4.08333333333333,3,3.75
30,27,"F",24,4,3.75,2.75
27,39,"M",28,3.91666666666667,2.625,2.33333333333333
29,34,"M",30,4,2.375,2.41666666666667
31,27,"F",24,4,3.625,3
37,23,"F",9,3.66666666666667,2.75,2.41666666666667
26,37,"F",26,3.66666666666667,1.75,2.83333333333333
26,44,"F",32,4.41666666666667,3.25,3.16666666666667
30,41,"M",32,3.91666666666667,4,3
33,37,"F",33,3.75,3.625,2
33,25,"F",29,3.25,2.875,3.5
28,30,"M",30,3.58333333333333,3,3.75
26,34,"M",19,4.91666666666667,1.625,2.5
27,32,"F",23,3.58333333333333,3.25,2.08333333333333
25,20,"F",19,2.91666666666667,3.5,2.41666666666667
31,24,"F",12,3.66666666666667,3,2.58333333333333
20,42,"M",10,4.5,3.25,1.58333333333333
39,16,"F",11,4.08333333333333,1.875,2.83333333333333
38,31,"M",20,3.83333333333333,4.375,1.83333333333333
24,38,"M",26,3.25,3.625,2.41666666666667
26,38,"M",31,2.33333333333333,2.5,3.25
25,33,"M",20,3.33333333333333,1.25,3.41666666666667
30,17,"F",23,4.08333333333333,4,3.41666666666667
25,25,"F",12,2.91666666666667,3,3.16666666666667
30,32,"M",24,3.33333333333333,2.5,3.5
48,35,"F",17,3.83333333333333,4.875,2.66666666666667
24,32,"F",29,3.66666666666667,5,2.41666666666667
40,42,"F",23,4.66666666666667,4.375,3.58333333333333
25,31,"M",28,3.75,3.25,2.08333333333333
23,39,"F",31,3.41666666666667,4,3.75
25,19,"F",23,4.16666666666667,3.125,2.91666666666667
23,21,"F",25,2.91666666666667,2.5,2.91666666666667
27,25,"M",18,4.16666666666667,3.125,2.41666666666667
25,32,"M",19,3.58333333333333,3.25,3
23,32,"M",22,2.83333333333333,2.125,3.41666666666667
23,26,"F",25,4,2.75,2.91666666666667
23,23,"F",21,2.91666666666667,2.375,3.25
45,38,"F",9,3,3.125,3.25
22,28,"F",28,4.08333333333333,4,2.33333333333333
23,33,"F",25,2.91666666666667,4,3.25
21,48,"M",29,3.5,2.25,2.5
21,40,"M",33,4.33333333333333,3.25,1.75
21,40,"F",33,4.25,3.625,2.25
21,47,"F",25,3.41666666666667,3.625,2.08333333333333
26,23,"F",18,3.08333333333333,2.5,2.83333333333333
25,31,"F",22,4.58333333333333,1.875,2.83333333333333
26,27,"F",17,3.41666666666667,2,2.41666666666667
21,41,"M",25,3.41666666666667,1.875,2.25
23,34,"F",28,3.41666666666667,4,2.83333333333333
22,25,"F",22,3.58333333333333,2.875,2.25
22,21,"F",26,1.58333333333333,3.875,1.83333333333333
22,14,"F",11,3.33333333333333,2.5,2.91666666666667
23,19,"F",29,4.33333333333333,2.75,2.91666666666667
22,37,"M",22,4.41666666666667,4.5,2.08333333333333
23,32,"M",21,4.83333333333333,3.375,2.33333333333333
24,28,"M",28,3.08333333333333,2.625,2.41666666666667
22,41,"F",33,3,4.125,2.75
23,25,"F",16,4.08333333333333,2.625,3.25
22,28,"M",31,4.08333333333333,2.25,1.75
20,38,"M",22,3.75,2.75,2.58333333333333
22,31,"M",31,3.08333333333333,3,3.33333333333333
21,35,"M",23,4.75,1.625,2.83333333333333
22,36,"F",26,4.25,1.875,2.5
23,26,"F",12,4.16666666666667,3.375,2.41666666666667
21,44,"M",26,4.41666666666667,3.75,2.41666666666667
22,45,"M",31,3.83333333333333,2.125,2.58333333333333
29,32,"M",19,3.33333333333333,2.375,3
29,39,"F",30,3.16666666666667,2.75,2
21,25,"F",12,3.16666666666667,3.125,3.41666666666667
28,33,"M",17,3.83333333333333,3.5,2.83333333333333
21,33,"F",18,4.25,2.625,2.25
30,30,"F",19,3.83333333333333,3.375,2.75
21,29,"F",21,3.66666666666667,2.25,3.91666666666667
23,33,"M",24,3.83333333333333,3,2.33333333333333
21,33,"F",28,3.83333333333333,4,2.75
21,35,"F",17,3.83333333333333,3.5,2.75
20,36,"F",18,3.66666666666667,2.625,2.91666666666667
22,37,"M",17,4.33333333333333,2.5,2.08333333333333
21,42,"M",23,3.75,3.75,3.66666666666667
21,32,"M",26,4.16666666666667,3.625,2.83333333333333
20,50,"F",28,4,4.125,3.41666666666667
22,47,"M",31,4,4.375,1.58333333333333
20,36,"F",27,4.58333333333333,2.625,2.91666666666667
20,36,"F",25,3.66666666666667,4,3
24,29,"M",23,3.66666666666667,2.75,2.91666666666667
20,35,"F",21,3.83333333333333,2.75,2.66666666666667
19,40,"F",27,2.58333333333333,1.375,3
21,35,"F",28,3.5,2.25,2.75
21,32,"F",23,3.08333333333333,3.625,3.08333333333333
22,26,"F",21,4.25,3.75,2.5
25,20,"F",25,3.16666666666667,4,2.33333333333333
21,27,"F",11,3.08333333333333,3.125,3
22,32,"F",19,4.16666666666667,3.25,3
25,33,"F",24,2.25,2.125,4
20,39,"F",28,3.33333333333333,2.875,3.25
24,33,"M",21,3.08333333333333,1.5,3.5
20,30,"F",24,2.75,2.5,3.5
21,37,"M",24,3.25,3.25,3.83333333333333
20,25,"F",20,4,3.625,2.91666666666667
20,29,"F",19,3.58333333333333,3.875,2.16666666666667
31,39,"M",30,4.08333333333333,3.875,1.66666666666667
20,36,"F",22,4.25,2.375,2.08333333333333
22,29,"F",16,3.41666666666667,3,2.83333333333333
22,21,"F",16,3.08333333333333,3.375,3.41666666666667
21,31,"M",19,3.5,2.75,3.33333333333333
22,40,"M",30,3.66666666666667,4.5,2.58333333333333
21,31,"F",23,4.25,2.625,2.83333333333333
21,23,"F",19,4.25,2.75,3.33333333333333
21,28,"F",18,3.83333333333333,3.25,3
21,37,"F",28,4.41666666666667,4.125,2.58333333333333
20,26,"F",21,3.5,3.375,2.41666666666667
21,24,"F",19,3.58333333333333,2.75,3.58333333333333
25,30,"F",27,3.66666666666667,4.125,2.08333333333333
21,28,"M",24,2.08333333333333,3.25,4.33333333333333
24,29,"F",21,4.25,2.875,2.66666666666667
20,24,"F",20,3.58333333333333,2.875,3
21,31,"M",28,4,2.375,2.66666666666667
20,19,"F",12,3.33333333333333,3.875,2.16666666666667
20,20,"F",21,3.5,2.125,2.66666666666667
18,38,"F",28,3.16666666666667,4,2.25
21,34,"F",31,3.58333333333333,3.25,2.66666666666667
19,37,"F",18,3.41666666666667,2.625,3.33333333333333
21,29,"F",25,4.25,2.75,3.5
20,23,"F",19,3.25,4,2.75
21,41,"M",21,4.41666666666667,3,2
20,27,"F",16,3.25,3.375,2.83333333333333
21,35,"F",7,3.91666666666667,3.875,3.5
20,34,"F",21,3.58333333333333,3.25,2.5
18,32,"F",17,4.5,3.375,3.16666666666667
22,33,"M",22,3.58333333333333,4.125,3.08333333333333
22,33,"F",18,3.66666666666667,3.5,2.91666666666667
24,35,"M",25,2.58333333333333,2,3.16666666666667
19,32,"F",24,4.16666666666667,3.625,2.5
20,31,"F",23,3.25,3.375,3.83333333333333
20,28,"F",23,4.33333333333333,2.125,2.25
17,17,"F",26,3.91666666666667,4.625,3.41666666666667
19,19,"M",12,2.66666666666667,2.5,3.75
20,35,"F",32,3.08333333333333,2.875,3
20,24,"F",22,3.75,2.75,2.58333333333333
20,21,"F",20,4.16666666666667,4,3.33333333333333
20,29,"F",21,4.16666666666667,2.375,2.83333333333333
19,19,"F",23,3.25,3.875,3
19,20,"F",20,4.08333333333333,3.375,2.83333333333333
22,42,"F",28,2.91666666666667,1.75,3.16666666666667
35,41,"M",31,3.83333333333333,3,2.75
18,37,"F",18,3.16666666666667,2.625,3.41666666666667
19,36,"F",30,3.41666666666667,2.625,3
21,18,"M",19,4.08333333333333,3.375,2.66666666666667
